properties.nombre,properties.libres,timestamp
Kontxa,560,2022-01-24 06:26:20.918915
Kursaal,185,2022-01-24 06:26:20.918915
Okendo,570,2022-01-24 06:26:20.918915
Ondarreta,0,2022-01-24 06:26:20.918915
Pio XII,471,2022-01-24 06:26:20.918915
San Martin,250,2022-01-24 06:26:20.918915
Txofre,10,2022-01-24 06:26:20.918915
Zuatzu,0,2022-01-24 06:26:20.918915
Arcco,0,2022-01-24 07:19:17.870078
Atotxa,167,2022-01-24 07:19:17.870078
Boulevard,332,2022-01-24 07:19:17.870078
Buen Pastor,330,2022-01-24 07:19:17.870078
Easo,157,2022-01-24 07:19:17.870078
Estación,309,2022-01-24 07:19:17.870078
Illumbe,0,2022-01-24 07:19:17.870078
Katalunia,367,2022-01-24 07:19:17.870078
Kontxa,553,2022-01-24 07:19:17.870078
Kursaal,188,2022-01-24 07:19:17.870078
Okendo,554,2022-01-24 07:19:17.870078
Ondarreta,0,2022-01-24 07:19:17.870078
Pio XII,471,2022-01-24 07:19:17.870078
San Martin,243,2022-01-24 07:19:17.870078
Txofre,10,2022-01-24 07:19:17.870078
Zuatzu,0,2022-01-24 07:19:17.870078
Arcco,0,2022-01-24 08:23:26.252288
Atotxa,115,2022-01-24 08:23:26.252288
Boulevard,277,2022-01-24 08:23:26.252288
Buen Pastor,281,2022-01-24 08:23:26.252288
Easo,137,2022-01-24 08:23:26.252288
Estación,291,2022-01-24 08:23:26.252288
Illumbe,0,2022-01-24 08:23:26.252288
Katalunia,312,2022-01-24 08:23:26.252288
Kontxa,503,2022-01-24 08:23:26.252288
Kursaal,167,2022-01-24 08:23:26.252288
Okendo,459,2022-01-24 08:23:26.252288
Ondarreta,0,2022-01-24 08:23:26.252288
Pio XII,468,2022-01-24 08:23:26.252288
San Martin,199,2022-01-24 08:23:26.252288
Txofre,10,2022-01-24 08:23:26.252288
Zuatzu,0,2022-01-24 08:23:26.252288
Arcco,0,2022-01-24 09:18:08.201160
Atotxa,84,2022-01-24 09:18:08.201160
Boulevard,228,2022-01-24 09:18:08.201160
Buen Pastor,203,2022-01-24 09:18:08.201160
Easo,108,2022-01-24 09:18:08.201160
Estación,275,2022-01-24 09:18:08.201160
Illumbe,0,2022-01-24 09:18:08.201160
Katalunia,259,2022-01-24 09:18:08.201160
Kontxa,472,2022-01-24 09:18:08.201160
Kursaal,154,2022-01-24 09:18:08.201160
Okendo,400,2022-01-24 09:18:08.201160
Ondarreta,0,2022-01-24 09:18:08.201160
Pio XII,443,2022-01-24 09:18:08.201160
San Martin,165,2022-01-24 09:18:08.201160
Txofre,10,2022-01-24 09:18:08.201160
Zuatzu,0,2022-01-24 09:18:08.201160
Arcco,0,2022-01-24 10:21:17.644427
Atotxa,98,2022-01-24 10:21:17.644427
Boulevard,182,2022-01-24 10:21:17.644427
Buen Pastor,146,2022-01-24 10:21:17.644427
Easo,83,2022-01-24 10:21:17.644427
Estación,262,2022-01-24 10:21:17.644427
Illumbe,0,2022-01-24 10:21:17.644427
Katalunia,189,2022-01-24 10:21:17.644427
Kontxa,435,2022-01-24 10:21:17.644427
Kursaal,149,2022-01-24 10:21:17.644427
Okendo,352,2022-01-24 10:21:17.644427
Ondarreta,0,2022-01-24 10:21:17.644427
Pio XII,450,2022-01-24 10:21:17.644427
San Martin,110,2022-01-24 10:21:17.644427
Txofre,10,2022-01-24 10:21:17.644427
Zuatzu,0,2022-01-24 10:21:17.644427
Arcco,0,2022-01-24 11:16:02.042947
Atotxa,84,2022-01-24 11:16:02.042947
Boulevard,151,2022-01-24 11:16:02.042947
Buen Pastor,133,2022-01-24 11:16:02.042947
Easo,76,2022-01-24 11:16:02.042947
Estación,252,2022-01-24 11:16:02.042947
Illumbe,0,2022-01-24 11:16:02.042947
Katalunia,168,2022-01-24 11:16:02.042947
Kontxa,415,2022-01-24 11:16:02.042947
Kursaal,139,2022-01-24 11:16:02.042947
Okendo,329,2022-01-24 11:16:02.042947
Ondarreta,0,2022-01-24 11:16:02.042947
Pio XII,455,2022-01-24 11:16:02.042947
San Martin,77,2022-01-24 11:16:02.042947
Txofre,10,2022-01-24 11:16:02.042947
Zuatzu,0,2022-01-24 11:16:02.042947
Arcco,0,2022-01-24 12:31:03.930721
Atotxa,93,2022-01-24 12:31:03.930721
Boulevard,182,2022-01-24 12:31:03.930721
Buen Pastor,175,2022-01-24 12:31:03.930721
Easo,92,2022-01-24 12:31:03.930721
Estación,249,2022-01-24 12:31:03.930721
Illumbe,0,2022-01-24 12:31:03.930721
Katalunia,225,2022-01-24 12:31:03.930721
Kontxa,402,2022-01-24 12:31:03.930721
Kursaal,134,2022-01-24 12:31:03.930721
Okendo,348,2022-01-24 12:31:03.930721
Ondarreta,0,2022-01-24 12:31:03.930721
Pio XII,451,2022-01-24 12:31:03.930721
San Martin,88,2022-01-24 12:31:03.930721
Txofre,10,2022-01-24 12:31:03.930721
Zuatzu,0,2022-01-24 12:31:03.930721
Arcco,0,2022-01-24 13:22:30.281596
Atotxa,120,2022-01-24 13:22:30.281596
Boulevard,194,2022-01-24 13:22:30.281596
Buen Pastor,213,2022-01-24 13:22:30.281596
Easo,125,2022-01-24 13:22:30.281596
Estación,263,2022-01-24 13:22:30.281596
Illumbe,0,2022-01-24 13:22:30.281596
Katalunia,253,2022-01-24 13:22:30.281596
Kontxa,418,2022-01-24 13:22:30.281596
Kursaal,137,2022-01-24 13:22:30.281596
Okendo,384,2022-01-24 13:22:30.281596
Ondarreta,0,2022-01-24 13:22:30.281596
Pio XII,462,2022-01-24 13:22:30.281596
San Martin,127,2022-01-24 13:22:30.281596
Txofre,10,2022-01-24 13:22:30.281596
Zuatzu,0,2022-01-24 13:22:30.281596
Arcco,0,2022-01-24 14:19:46.977958
Atotxa,139,2022-01-24 14:19:46.977958
Boulevard,216,2022-01-24 14:19:46.977958
Buen Pastor,229,2022-01-24 14:19:46.977958
Easo,132,2022-01-24 14:19:46.977958
Estación,267,2022-01-24 14:19:46.977958
Illumbe,0,2022-01-24 14:19:46.977958
Katalunia,269,2022-01-24 14:19:46.977958
Kontxa,454,2022-01-24 14:19:46.977958
Kursaal,145,2022-01-24 14:19:46.977958
Okendo,410,2022-01-24 14:19:46.977958
Ondarreta,0,2022-01-24 14:19:46.977958
Pio XII,469,2022-01-24 14:19:46.977958
San Martin,152,2022-01-24 14:19:46.977958
Txofre,10,2022-01-24 14:19:46.977958
Zuatzu,0,2022-01-24 14:19:46.977958
Arcco,0,2022-01-24 15:19:45.478042
Atotxa,138,2022-01-24 15:19:45.478042
Boulevard,209,2022-01-24 15:19:45.478042
Buen Pastor,214,2022-01-24 15:19:45.478042
Easo,111,2022-01-24 15:19:45.478042
Estación,255,2022-01-24 15:19:45.478042
Illumbe,0,2022-01-24 15:19:45.478042
Katalunia,245,2022-01-24 15:19:45.478042
Kontxa,440,2022-01-24 15:19:45.478042
Kursaal,151,2022-01-24 15:19:45.478042
Okendo,407,2022-01-24 15:19:45.478042
Ondarreta,0,2022-01-24 15:19:45.478042
Pio XII,464,2022-01-24 15:19:45.478042
San Martin,149,2022-01-24 15:19:45.478042
Txofre,10,2022-01-24 15:19:45.478042
Zuatzu,0,2022-01-24 15:19:45.478042
Arcco,0,2022-01-24 16:30:08.011554
Atotxa,131,2022-01-24 16:30:08.011554
Boulevard,188,2022-01-24 16:30:08.011554
Buen Pastor,144,2022-01-24 16:30:08.011554
Easo,80,2022-01-24 16:30:08.011554
Estación,243,2022-01-24 16:30:08.011554
Illumbe,0,2022-01-24 16:30:08.011554
Katalunia,190,2022-01-24 16:30:08.011554
Kontxa,419,2022-01-24 16:30:08.011554
Kursaal,147,2022-01-24 16:30:08.011554
Okendo,389,2022-01-24 16:30:08.011554
Ondarreta,0,2022-01-24 16:30:08.011554
Pio XII,466,2022-01-24 16:30:08.011554
San Martin,126,2022-01-24 16:30:08.011554
Txofre,10,2022-01-24 16:30:08.011554
Zuatzu,0,2022-01-24 16:30:08.011554
Arcco,0,2022-01-24 17:22:44.550882
Atotxa,112,2022-01-24 17:22:44.550882
Boulevard,195,2022-01-24 17:22:44.550882
Buen Pastor,128,2022-01-24 17:22:44.550882
Easo,77,2022-01-24 17:22:44.550882
Estación,231,2022-01-24 17:22:44.550882
Illumbe,0,2022-01-24 17:22:44.550882
Katalunia,184,2022-01-24 17:22:44.550882
Kontxa,417,2022-01-24 17:22:44.550882
Kursaal,151,2022-01-24 17:22:44.550882
Okendo,379,2022-01-24 17:22:44.550882
Ondarreta,0,2022-01-24 17:22:44.550882
Pio XII,459,2022-01-24 17:22:44.550882
San Martin,122,2022-01-24 17:22:44.550882
Txofre,10,2022-01-24 17:22:44.550882
Zuatzu,0,2022-01-24 17:22:44.550882
Arcco,0,2022-01-24 18:21:07.607823
Atotxa,107,2022-01-24 18:21:07.607823
Boulevard,183,2022-01-24 18:21:07.607823
Buen Pastor,169,2022-01-24 18:21:07.607823
Easo,100,2022-01-24 18:21:07.607823
Estación,241,2022-01-24 18:21:07.607823
Illumbe,0,2022-01-24 18:21:07.607823
Katalunia,210,2022-01-24 18:21:07.607823
Kontxa,433,2022-01-24 18:21:07.607823
Kursaal,167,2022-01-24 18:21:07.607823
Okendo,415,2022-01-24 18:21:07.607823
Ondarreta,0,2022-01-24 18:21:07.607823
Pio XII,458,2022-01-24 18:21:07.607823
San Martin,157,2022-01-24 18:21:07.607823
Txofre,10,2022-01-24 18:21:07.607823
Zuatzu,0,2022-01-24 18:21:07.607823
Arcco,0,2022-01-24 19:16:07.574582
Atotxa,147,2022-01-24 19:16:07.574582
Boulevard,208,2022-01-24 19:16:07.574582
Buen Pastor,232,2022-01-24 19:16:07.574582
Easo,125,2022-01-24 19:16:07.574582
Estación,285,2022-01-24 19:16:07.574582
Illumbe,0,2022-01-24 19:16:07.574582
Katalunia,281,2022-01-24 19:16:07.574582
Kontxa,477,2022-01-24 19:16:07.574582
Kursaal,181,2022-01-24 19:16:07.574582
Okendo,466,2022-01-24 19:16:07.574582
Ondarreta,0,2022-01-24 19:16:07.574582
Pio XII,473,2022-01-24 19:16:07.574582
San Martin,189,2022-01-24 19:16:07.574582
Txofre,10,2022-01-24 19:16:07.574582
Zuatzu,0,2022-01-24 19:16:07.574582
Arcco,0,2022-01-24 20:20:07.405567
Atotxa,181,2022-01-24 20:20:07.405567
Boulevard,267,2022-01-24 20:20:07.405567
Buen Pastor,302,2022-01-24 20:20:07.405567
Easo,145,2022-01-24 20:20:07.405567
Estación,311,2022-01-24 20:20:07.405567
Illumbe,0,2022-01-24 20:20:07.405567
Katalunia,333,2022-01-24 20:20:07.405567
Kontxa,526,2022-01-24 20:20:07.405567
Kursaal,183,2022-01-24 20:20:07.405567
Okendo,540,2022-01-24 20:20:07.405567
Ondarreta,0,2022-01-24 20:20:07.405567
Pio XII,496,2022-01-24 20:20:07.405567
San Martin,239,2022-01-24 20:20:07.405567
Txofre,10,2022-01-24 20:20:07.405567
Zuatzu,0,2022-01-24 20:20:07.405567
Arcco,0,2022-01-24 21:15:30.159033
Atotxa,183,2022-01-24 21:15:30.159033
Boulevard,298,2022-01-24 21:15:30.159033
Buen Pastor,326,2022-01-24 21:15:30.159033
Easo,153,2022-01-24 21:15:30.159033
Estación,319,2022-01-24 21:15:30.159033
Illumbe,0,2022-01-24 21:15:30.159033
Katalunia,351,2022-01-24 21:15:30.159033
Kontxa,544,2022-01-24 21:15:30.159033
Kursaal,181,2022-01-24 21:15:30.159033
Okendo,550,2022-01-24 21:15:30.159033
Ondarreta,0,2022-01-24 21:15:30.159033
Pio XII,492,2022-01-24 21:15:30.159033
San Martin,253,2022-01-24 21:15:30.159033
Txofre,10,2022-01-24 21:15:30.159033
Zuatzu,0,2022-01-24 21:15:30.159033
Arcco,0,2022-01-24 22:19:12.940220
Atotxa,183,2022-01-24 22:19:12.940220
Boulevard,322,2022-01-24 22:19:12.940220
Buen Pastor,328,2022-01-24 22:19:12.940220
Easo,156,2022-01-24 22:19:12.940220
Estación,324,2022-01-24 22:19:12.940220
Illumbe,0,2022-01-24 22:19:12.940220
Katalunia,360,2022-01-24 22:19:12.940220
Kontxa,549,2022-01-24 22:19:12.940220
Kursaal,182,2022-01-24 22:19:12.940220
Okendo,558,2022-01-24 22:19:12.940220
Ondarreta,0,2022-01-24 22:19:12.940220
Pio XII,488,2022-01-24 22:19:12.940220
San Martin,255,2022-01-24 22:19:12.940220
Txofre,10,2022-01-24 22:19:12.940220
Zuatzu,0,2022-01-24 22:19:12.940220
Arcco,0,2022-01-24 23:18:58.686402
Atotxa,183,2022-01-24 23:18:58.686402
Boulevard,329,2022-01-24 23:18:58.686402
Buen Pastor,330,2022-01-24 23:18:58.686402
Easo,156,2022-01-24 23:18:58.686402
Estación,326,2022-01-24 23:18:58.686402
